phone,Not worth Battery back up low no recent os camera performance weak
It is heating otherwise it is good,It is excessively heating
Good mobile,I this mobile on it is a value for money device and thanks to
Good phone,It s good phone But camera is not too good
Awesome phone for its price,At the price this is surely one of the best one can buy The honor a better camera but other than that it s perfect
as and product is amazing,in days as and is amazing phone Best alternative for note or
Excellent product,Phone is really good in of quality and look Working awesome
Nice Mobile,Star Budget mobile
Really Nice,Came early Plus it s great phone
Best then MI,Best Budget mobile
Awesome phone,Value for money
Stunning Wow Gorgeous Beautiful,All good only battery is very very fast it s does not complete a full day full charge little bit slow in performance
Good best product,Simply superb Worth for money in this segment Quick charging Amazing picture quality
Perfect for k,no any
bad experience,hanging problem
Mobile,Worth for this price
This Item is awesome,Recently I mobile This mobile is awesome and best mobile in this price range In this screen resolution and camera is best for selfish Product receive as I expect
phone,Nice one Can use for many
product,Good time delivery
,Good phone pleasant experience
Best in the class,This phone it is the best combination of beauty and beast Firstly thanks to the for the super quick delivery Coming to the phone this phone is perfectly After I phone for the first time I was just Wow Display quality is top notch Both front and rear are quite impressive Performance is buttery smooth you will get free ram even with heavy usage Battery life is also fine quick charging is really helpful So go get it
,Awesome phone
Snap deal excellent,Good going fine on time delivery off service superior
is great,is to invest into
Awesome phone,Best in price segment
happy,perfect at its price
Nice Mobile,Nice mobile with nice facility Only battery life is little low to mobile Nice camera It s value for money mobile No hanging problem One big negative point is that there is no inside the box Overall good mobile
Excellent mobile and fast delivery,I got genuine piece of handset completely satisfied with the handset and Fast Snapdragon Cam clarity also Really value for money Dont wait go for it
A for,ALL GOOD IN THE PHONE G BUT FOR THAT YOU HAVE TO UPDATE YOUR PHONE TO LATEST Enjoy in this phone works well rear cam is good can shoot k front camera is also above average you can play any game in this super phone truly a great phone go for it also I want to all that is very trustworthy my phone delivery before date I am very happy with that
Poor Battery,battery backup is getting coming Even backup is not coming
it is best product at affordable price,it is best product at affordable price
N O T S A T I F I E D,Tray removing pin and headphone not given with the box
nice phone right time to right time to replacement,beat note my opinion camera excellent good finishing good tower good working battery only issue moderate day no worry about this quick charger
Nice phone,Value for money
is My new,The phone is awesome it is just for the battery that the i have given Battery u a juice of of continuous usage With low to medium usage you will manage a day with single charge BEST part is phone quick Charge Thats great Camera is type and give decent in daylight Have to again mention delivery by is really fast Much better than
best phone,Value for money and excellent customer service by
great phone on a budget,It by a slight margin and almost everything I need from a cell phone average camera relatively low battery life and lack of can be little concerning for some if the though The provided did not fit the phone correctly
phone lots of hanging problem,return it hanging problem
On Time delivery,Good product and worthy for money
